origin_iata,destination_iata,flight_type,airlines,departure_time,arrival_time,duration_hours,number_of_flights_per_day,min_price,avg_price,emissions_co2,aircraft_types,number_of_stops,layover_details,notes
SYD,BOM,One way,Etihad,20:50,12:40,20.33,2,588,588,884000 kg,Airbus A350 | Airbus A320,1,AUH (155m),Found on 2026-04-16
SYD,BOS,One way,Etihad,20:50,14:40,31.83,1,1595,1595,1190000 kg,Airbus A350 | Boeing 787,1,AUH (225m),Found on 2026-04-16
SYD,BRU,One way,Etihad,20:50,07:05,42.25,1,788,788,1074000 kg,Airbus A350 | Boeing 777,1,AUH (1250m),Found on 2026-04-16
SYD,CCJ,One way,Etihad,20:50,02:55,34.58,2,680,755.5,934000 kg,Airbus A350 | Airbus A321,1,AUH (965m),Found on 2026-04-16
SYD,CCU,One way,Etihad,20:50,20:30,28.17,1,647,647,994000 kg,Airbus A350 | Airbus A321neo,1,AUH (525m),Found on 2026-04-16
SYD,CDG,One way,Etihad,20:50,14:00,25.17,1,693,693,1141000 kg,Airbus A350 | Airbus A321neo,1,AUH (185m),Found on 2026-04-16
SYD,CLT,One way,Etihad,20:50,10:45,51.92,1,859,859,1329000 kg,Airbus A350 | Boeing 787,1,AUH (1340m),Found on 2026-04-17
SYD,CMB,One way,Etihad,20:50,14:55,22.58,1,658,658,971000 kg,Airbus A350 | Airbus A320,1,AUH (215m),Found on 2026-04-16
SYD,CMN,One way,Etihad,20:50,07:20,43.5,1,1033,1033,1017000 kg,Airbus A350 | Boeing 787-10,1,AUH (1250m),Found on 2026-04-16
SYD,COK,One way,Etihad,20:50,14:15,21.92,3,680,730.33,933000 kg,Airbus A350 | Airbus A320,1,AUH (205m),Found on 2026-04-16
SYD,CPH,One way,Etihad,20:50,07:10,42.33,1,704,704,1014000 kg,Airbus A350 | Boeing 787,1,AUH (1270m),Found on 2026-04-16
SYD,DBB,N/A,,,,,,,,,,,,No Etihad flights found within 1 day window (Attempted 60 days out)
SYD,DEL,One way,Etihad,20:50,14:10,21.83,1,620,620,921000 kg,Airbus A350 | Airbus A321neo,1,AUH (220m),Found on 2026-04-16
SYD,DMM,One way,Etihad,20:50,09:10,19.33,1,1316,1316,766000 kg,Airbus A350 | Airbus A320,1,AUH (210m),Found on 2026-04-16
SYD,DOH,One way,Etihad,20:50,09:30,19.67,1,756,756,749000 kg,Airbus A350 | Airbus A320,1,AUH (250m),Found on 2026-04-16
SYD,DUB,One way,Etihad,20:50,19:05,31.25,1,794,794,1044000 kg,Airbus A350 | Boeing 787,1,AUH (525m),Found on 2026-04-16
SYD,DUS,One way,Etihad,20:50,07:35,42.75,1,746,746,1118000 kg,Airbus A350 | Airbus A321neo,1,AUH (1265m),Found on 2026-04-16
SYD,ELQ,One way,Etihad,20:50,09:00,19.17,1,1416,1416,832000 kg,Airbus A350 | Airbus A320,1,AUH (160m),Found on 2026-04-16
SYD,FCO,One way,Etihad,20:50,18:20,29.5,1,688,688,983000 kg,Airbus A350 | Boeing 787,1,AUH (535m),Found on 2026-04-16
SYD,FRA,One way,Etihad,20:50,18:45,29.92,1,662,662,1006000 kg,Airbus A350 | Boeing 787,1,AUH (525m),Found on 2026-04-16
SYD,GVA,One way,Etihad,20:50,07:10,42.33,2,926,1001.5,1043000 kg,Airbus A350 | Boeing 787,1,AUH (1270m),Found on 2026-04-16
SYD,HYD,One way,Etihad,20:50,19:40,27.33,1,647,647,932000 kg,Airbus A350 | Airbus A321,1,AUH (545m),Found on 2026-04-16
SYD,IAD,One way,Etihad,20:50,09:45,50.92,1,1595,1595,1288000 kg,Airbus A350 | Boeing 787,1,AUH (1320m),Found on 2026-04-16
SYD,ISB,One way,Etihad,20:50,18:25,26.58,1,825,825,895000 kg,Airbus A350 | Airbus A321,1,AUH (540m),Found on 2026-04-16
SYD,IST,One way,Etihad,20:50,12:35,22.75,2,707,1435.5,972000 kg,Airbus A350 | Airbus A321,1,AUH (205m),Found on 2026-04-16
SYD,JAI,One way,Etihad,20:50,19:35,27.25,1,710,710,895000 kg,Airbus A350 | Airbus A320,1,AUH (560m),Found on 2026-04-16
SYD,JED,One way,Etihad,20:50,10:25,20.58,2,1296,1715.5,858000 kg,Airbus A350 | Airbus A321,1,AUH (195m),Found on 2026-04-16
SYD,JFK,One way,Etihad,20:50,16:00,33.17,1,1595,1595,1371000 kg,Airbus A350 | Boeing 787,1,AUH (265m),Found on 2026-04-16
SYD,JMK,One way,Etihad | SKY express,20:50,13:55,48.08,2,963,1284.5,1014000 kg,Airbus A350 | Airbus A320 | ATR 42/72,2,AUH (1255m) | ATH (415m),Found on 2026-04-16
SYD,JNB,One way,Etihad,20:50,08:15,43.42,1,687,687,1056000 kg,Airbus A350 | Boeing 787,1,AUH (1250m),Found on 2026-04-16
SYD,JTR,One way,Etihad | SKY express,20:50,17:25,27.58,2,997,1030.5,948000 kg,Airbus A350 | Airbus A321neo | ATR 42/72,2,AUH (185m) | ATH (235m),Found on 2026-04-16
SYD,KHI,One way,Etihad,20:50,11:10,19.33,1,825,825,830000 kg,Airbus A350 | Airbus A320,1,AUH (160m),Found on 2026-04-16
SYD,KWI,One way,Etihad,20:50,09:15,19.42,1,1181,1181,803000 kg,Airbus A350 | Airbus A320,1,AUH (195m),Found on 2026-04-16
SYD,LED,One way,Etihad,20:50,08:35,42.75,1,1020,1020,1065000 kg,Airbus A350 | Airbus A321neo,1,AUH (1300m),Found on 2026-04-16
SYD,LHE,One way,Etihad,20:50,18:25,26.58,1,825,825,896000 kg,Airbus A350 | Airbus A320,1,AUH (535m),Found on 2026-04-16
SYD,LHR,One way,Etihad,20:50,12:45,24.92,1,658,658,1000000 kg,Airbus A350 | Boeing 787-10,1,AUH (175m),Found on 2026-04-16
SYD,LIS,One way,Etihad,20:50,07:25,43.58,1,878,878,1148000 kg,Airbus A350 | Airbus A330,1,AUH (1250m),Found on 2026-04-16
SYD,MAA,One way,Etihad | Akasa Air,20:50,15:05,22.75,2,680,680,877000 kg,Airbus A350 | Boeing 737MAX 8 Passenger,1,AUH (220m),Found on 2026-04-16
SYD,MAN,One way,Etihad,20:50,18:35,30.75,1,933,933,1031000 kg,Airbus A350 | Boeing 787,1,AUH (525m),Found on 2026-04-16
SYD,MCT,One way,Etihad,20:50,10:40,19.83,1,913,913,756000 kg,Airbus A350 | Airbus A320,1,AUH (250m),Found on 2026-04-16
SYD,MLE,One way,Etihad,20:50,13:45,21.92,1,631,631,888000 kg,Airbus A350 | Boeing 787,1,AUH (195m),Found on 2026-04-16
SYD,MUC,One way,Etihad,20:50,18:40,29.83,1,707,707,970000 kg,Airbus A350 | Boeing 787,1,AUH (545m),Found on 2026-04-16
SYD,NBO,One way,Etihad,20:50,00:35,34.75,1,823,823,1006000 kg,Airbus A350 | Airbus A320,1,AUH (915m),Found on 2026-04-16
SYD,NCE,One way,Etihad | Brussels Airlines,20:50,12:55,48.08,1,1378,1378,,Airbus A350 | Boeing 787-10 | Airbus A320,2,AUH (1250m) | BRU (240m),Found on 2026-05-07 (Round 2)
SYD,ORD,One way,Etihad,20:50,08:35,50.75,1,1597,1597,,Airbus A350,1,AUH (1300m),Found on 2026-04-16
SYD,PEW,One way,Etihad,20:50,06:50,39.0,1,861,861,,Airbus A350 | Airbus A320,1,AUH (1290m),Found on 2026-04-16
SYD,PRG,One way,Etihad,20:50,07:05,42.25,2,861,4137.5,,Airbus A350 | Boeing 787,1,AUH (1295m),Found on 2026-04-16
SYD,RUH,One way,Etihad,20:50,08:40,18.83,2,1313,1591.5,,Airbus A350 | Boeing 787,1,AUH (160m),Found on 2026-04-16
SYD,SEZ,One way,Etihad | Air Seychelles,20:50,12:20,21.5,2,835,835,,Airbus A350 | Airbus A320neo,1,AUH (150m),Found on 2026-04-16
SYD,SVO,One way,Etihad,20:50,19:20,29.5,1,1028,1028,,Airbus A350 | Boeing 787-10,1,AUH (545m),Found on 2026-04-16
SYD,TRV,One way,Etihad,20:50,02:50,34.5,2,1159,1260.5,,Airbus A350 | Airbus A320,1,AUH (940m),Found on 2026-04-16
SYD,TUN,One way,Etihad,20:50,06:25,42.58,1,910,910,,Airbus A350 | Airbus A321neo,1,AUH (1300m),Found on 2026-04-16
SYD,VIE,One way,Etihad,20:50,06:40,41.83,1,952,952,,Airbus A350 | Boeing 777,1,AUH (1285m),Found on 2026-04-16
SYD,WAW,One way,Etihad,20:50,07:00,42.17,1,882,882,,Airbus A350 | Boeing 787,1,AUH (1305m),Found on 2026-04-17
SYD,YYZ,One way,Etihad,15:40,08:55,31.25,1,1638,1638,,Airbus A350 | Airbus A380,1,AUH (145m),Found on 2026-04-17
SYD,ZRH,One way,Etihad,20:50,06:50,42.0,3,903,954.67,,Airbus A350 | Boeing 787,1,AUH (1260m),Found on 2026-04-16
SYD,YYC,One way,Qantas | WestJet,20:30,22:17,17.78,10,918,1315.4,,Boeing 787 | Boeing 737,1,YVR (135m),Found on 2026-04-18 (Round 2)
SYD,ZNZ,One way,Etihad | Ethiopian,20:50,18:15,28.42,1,1004,1004,,Airbus A350 | Airbus A320,2,AUH (220m) | ADD (190m),Found on 2026-04-16
SYD,KRK,One way,Etihad | Lufthansa,20:50,23:30,34.67,1,1276,1276,,Airbus A350 | Boeing 787 | Airbus A320,2,AUH (545m) | MUC (210m),Found on 2026-04-16
SYD,LUX,One way,Qatar Airways | Luxair,20:45,18:05,29.33,20,860,1832.2,,Airbus A380 | Airbus A350 | De Havilland-Bombardier Dash-8,2,DOH (260m) | MXP (145m),Found on 2026-04-18 (Round 2)
SYD,MED,One way,Etihad | Flynas,20:50,17:25,27.58,2,6054,6075,,Airbus A350 | Airbus A320,2,AUH (210m) | DMM (375m),Found on 2026-04-16
SYD,OTP,One way,Etihad | Air Serbia,20:50,03:05,37.25,1,7053,7053,,Airbus A350 | Airbus A321neo | Airbus A319 | ATR 42/72,3,AUH (185m) | ATH (180m) | BEG (505m),Found on 2026-04-16
SYD,PMI,One way,Etihad | Air Europa,20:50,22:45,33.92,1,629,629,,Airbus A350 | Boeing 787 | Boeing 737,2,AUH (535m) | BCN (160m),Found on 2026-04-16
SYD,SLL,One way,Etihad | Air Arabia,20:50,09:50,19.0,1,1067,1067,,Airbus A350 | Airbus A320,1,AUH (165m),Found on 2026-04-16
SYD,TLV,One way,Etihad,20:50,11:10,21.33,1,1699,1699,,Airbus A350 | Airbus A321neo,1,AUH (210m),Found on 2026-04-16
SYD,TAS,One way,Etihad | Air Arabia,20:50,13:20,21.5,1,2207,2207,,Airbus A350 | Airbus A320,1,AUH (215m),Found on 2026-04-17
SYD,KZN,One way,Etihad,20:50,12:35,46.75,1,639,639,,Airbus A350 | Airbus A320,1,AUH (1625m),Found on 2026-04-17
SYD,DAM,One way,THAI | Royal Jordanian,14:35,07:40,24.08,2,1238,3247.5,,Airbus A350 | Boeing 787 | Airbus A320neo,2,BKK (195m) | AMM (75m),Found on 2026-04-18 (Round 2)
SYD,KBL,One way,Etihad,20:50,18:15,26.92,1,1105,1105,,Airbus A350 | Airbus A320,1,AUH (570m),Found on 2026-04-16
TAS,AUH,One way,Air Arabia,14:40,17:25,3.75,7,149,1410,,Airbus A320,0,Direct,Found on 2026-04-18 (Round 2)
TAS,YYZ,One way,Air Arabia | Etihad,14:40,08:55,27.25,1,1595,1595,,Airbus A320 | Airbus A380,1,AUH (545m),Found on 2026-05-07 (Round 2)
TAS,JNB,One way,Air Arabia | Etihad,14:40,08:15,20.58,1,,,,Airbus A320 | Boeing 787,1,AUH (520m),Found on 2026-04-16
TAS,NBO,One way,Air Arabia | Etihad,14:40,00:35,11.92,1,1072,1072,,Airbus A320,1,AUH (185m),Found on 2026-05-07 (Round 2)
TAS,SEZ,One way,Air Arabia | Etihad,14:40,07:15,17.58,1,1406,1406,,Airbus A320,1,AUH (545m),Found on 2026-05-10 (Round 2)
TAS,AMS,One way,Air Arabia | Etihad,14:40,08:00,20.33,1,1318,1318,,Airbus A320 | Airbus A321neo,1,AUH (540m),Found on 2026-05-07 (Round 2)
TAS,ATH,One way,Air Arabia | Etihad,14:40,12:35,23.92,1,1265,1265,,Airbus A320 | Airbus A321neo,1,AUH (895m),Found on 2026-05-07 (Round 2)
TAS,BCN,One way,Air Arabia | Etihad,14:40,07:35,19.92,1,1063,1063,,Airbus A320 | Boeing 787,1,AUH (545m),Found on 2026-05-07 (Round 2)
TAS,BRU,One way,Air Arabia | Etihad,14:40,07:05,19.42,1,1277,1277,,Airbus A320 | Boeing 787-10,1,AUH (520m),Found on 2026-05-07 (Round 2)
TAS,CMN,One way,Air Arabia | Etihad,14:40,07:20,20.67,1,1310,1310,,Airbus A320 | Boeing 787-10,1,AUH (520m),Found on 2026-05-07 (Round 2)
TAS,CPH,One way,Air Arabia | Etihad,14:40,07:00,19.33,1,1111,1111,,Airbus A320 | Boeing 787,1,AUH (530m),Found on 2026-05-07 (Round 2)
TAS,DUB,One way,Air Arabia | Etihad,14:40,07:15,20.58,1,1357,1357,,Airbus A320 | Boeing 777,1,AUH (525m),Found on 2026-05-07 (Round 2)
TAS,DUS,One way,Air Arabia | Etihad,14:40,07:35,19.92,1,1318,1318,,Airbus A320 | Airbus A321neo,1,AUH (535m),Found on 2026-05-07 (Round 2)
TAS,FRA,One way,Air Arabia | Etihad,14:40,06:55,19.25,1,1207,1207,,Airbus A320 | Boeing 777,1,AUH (525m),Found on 2026-05-07 (Round 2)
TAS,GVA,One way,Air Arabia | Etihad,14:40,07:10,19.5,1,1192,1192,,Airbus A320 | Boeing 787,1,AUH (540m),Found on 2026-05-07 (Round 2)
TAS,IST,One way,Air Arabia | Etihad,14:40,12:35,23.92,1,975,975,,Airbus A320 | Airbus A321,1,AUH (915m),Found on 2026-05-07 (Round 2)
TAS,LIS,One way,Air Arabia | Etihad,14:40,07:25,20.75,1,1063,1063,,Airbus A320 | Airbus A330,1,AUH (520m),Found on 2026-05-09 (Round 2)
TAS,LHR,One way,Air Arabia | Etihad,14:40,07:00,20.33,1,1200,1200,,Airbus A320 | Airbus A380,1,AUH (535m),Found on 2026-05-07 (Round 2)
TAS,MAD,One way,Air Arabia | Etihad,14:40,08:10,20.5,1,1026,1026,,Airbus A320 | Boeing 787,1,AUH (540m),Found on 2026-05-07 (Round 2)
TAS,MAN,One way,Air Arabia | Etihad,14:40,06:55,20.25,1,1303,1303,,Airbus A320 | Boeing 777,1,AUH (525m),Found on 2026-05-07 (Round 2)
TAS,MXP,One way,Air Arabia | Etihad,14:40,06:45,19.08,1,1283,1283,,Airbus A320 | Airbus A350,1,AUH (530m),Found on 2026-05-07 (Round 2)
TAS,MUC,One way,Air Arabia | Etihad,14:40,06:55,19.25,1,1207,1207,,Airbus A320 | Boeing 787,1,AUH (550m),Found on 2026-05-07 (Round 2)
TAS,CDG,One way,Air Arabia | Etihad,14:40,07:55,20.25,1,1256,1256,,Airbus A320 | Airbus A380,1,AUH (550m),Found on 2026-05-07 (Round 2)
TAS,PRG,One way,Air Arabia | Etihad,14:40,07:05,19.42,1,1153,1153,,Airbus A320 | Boeing 787,1,AUH (565m),Found on 2026-05-07 (Round 2)
TAS,FCO,One way,Air Arabia | Etihad,14:40,06:25,18.75,1,1018,1018,,Airbus A320 | Boeing 787,1,AUH (530m),Found on 2026-05-07 (Round 2)
TAS,VIE,One way,Air Arabia | Etihad,14:40,06:40,19.0,1,1154,1154,,Airbus A320 | Boeing 787,1,AUH (555m),Found on 2026-05-07 (Round 2)
TAS,WAW,One way,Air Arabia | Etihad,14:40,07:00,19.33,1,973,973,,Airbus A320 | Boeing 787-10,1,AUH (575m),Found on 2026-05-07 (Round 2)
TAS,ZRH,One way,Air Arabia | Etihad,14:40,07:10,19.5,1,1237,1237,,Airbus A320 | Airbus A321neo,1,AUH (530m),Found on 2026-05-07 (Round 2)
TAS,AMM,One way,Air Arabia | Etihad,14:40,23:35,10.92,1,1168,1168,,Airbus A320,1,AUH (235m),Found on 2026-05-07 (Round 2)
TAS,BAH,One way,Air Arabia | Etihad,14:40,20:45,8.08,1,1234,1234,,Airbus A320,1,AUH (190m),Found on 2026-05-07 (Round 2)
TAS,BEY,One way,Air Arabia | Etihad,14:40,11:05,22.42,1,1129,1129,,Airbus A320,1,AUH (910m),Found on 2026-05-07 (Round 2)
TAS,CAI,One way,Air Arabia | Etihad,14:40,05:25,16.75,1,942,942,,Airbus A320 | Airbus A321neo,1,AUH (555m),Found on 2026-05-07 (Round 2)
TAS,DMM,One way,Air Arabia | Etihad,14:40,21:10,8.5,1,1070,1070,,Airbus A320 | Airbus A321neo,1,AUH (200m),Found on 2026-05-07 (Round 2)
TAS,DOH,One way,Air Arabia | Etihad,14:40,02:05,13.42,1,1227,1227,,Airbus A320 | Airbus A320neo,1,AUH (515m),Found on 2026-05-07 (Round 2)
TAS,ELQ,One way,Air Arabia | Etihad,14:40,09:00,20.33,1,956,956,,Airbus A320,1,AUH (870m),Found on 2026-05-07 (Round 2)
TAS,JED,One way,Air Arabia | Etihad,14:40,23:25,10.75,1,1036,1036,,Airbus A320,1,AUH (240m),Found on 2026-05-07 (Round 2)
TAS,KWI,One way,Air Arabia | Etihad,14:40,21:15,8.58,1,1166,1166,,Airbus A320,1,AUH (185m),Found on 2026-05-07 (Round 2)
TAS,MCT,One way,Air Arabia | Etihad,14:40,22:00,8.33,1,1098,1098,,Airbus A320 | Airbus A321,1,AUH (200m),Found on 2026-05-07 (Round 2)
TAS,RUH,One way,Air Arabia | Etihad,14:40,21:25,8.75,1,1087,1087,,Airbus A320,1,AUH (185m),Found on 2026-05-07 (Round 2)
TAS,TLV,One way,Air Arabia | Etihad,14:40,00:15,11.58,1,1221,1221,,Airbus A320 | Airbus A321,1,AUH (265m),Found on 2026-05-07 (Round 2)
TAS,BOS,One way,Air Arabia | Etihad,14:40,14:40,33.0,1,1624,1624,,Airbus A320 | Boeing 787,1,AUH (935m),Found on 2026-05-07 (Round 2)
TAS,ORD,One way,Air Arabia | Etihad,14:40,08:35,27.92,1,1624,1624,,Airbus A320 | Airbus A350,1,AUH (570m),Found on 2026-05-17 (Round 2)
TAS,JFK,One way,Air Arabia | Etihad,14:40,08:35,26.92,1,1624,1624,,Airbus A320 | Airbus A350,1,AUH (550m),Found on 2026-05-17 (Round 2)
TAS,IAD,One way,Air Arabia | Etihad,14:40,09:45,28.08,1,1624,1624,,Airbus A320 | Boeing 787,1,AUH (590m),Found on 2026-05-17 (Round 2)
TAS,AMD,One way,Air Arabia | Etihad,14:40,04:25,13.25,1,,,,Airbus A320 | Airbus A321,1,AUH (390m),Found on 2026-04-16
TAS,BKK,One way,Air Arabia | Etihad,14:40,06:30,13.83,1,1992,1992,,Airbus A320 | Airbus A350,1,AUH (210m),Found on 2026-05-17 (Round 2)
TAS,BLR,One way,Air Arabia | Etihad,14:40,03:15,12.08,1,1161,1161,,Airbus A320,1,AUH (250m),Found on 2026-05-17 (Round 2)
TAS,BOM,One way,Air Arabia | Etihad,14:40,02:05,10.92,1,1155,1155,,Airbus A320 | Boeing 787-10,1,AUH (230m),Found on 2026-05-17 (Round 2)
TAS,CCJ,One way,Air Arabia | Etihad,14:40,02:55,11.75,1,926,926,,Airbus A320 | Airbus A321,1,AUH (235m),Found on 2026-05-17 (Round 2)
TAS,CCU,One way,Air Arabia | Etihad,14:40,03:00,11.83,1,1111,1111,,Airbus A320 | Airbus A321neo,1,AUH (190m),Found on 2026-05-21 (Round 2)
TAS,CMB,One way,Air Arabia | Etihad,14:40,03:00,11.83,1,980,980,,Airbus A320 | Airbus A321neo,1,AUH (205m),Found on 2026-05-17 (Round 2)
TAS,COK,One way,Air Arabia | Etihad,14:40,08:10,17.0,1,1152,1152,,Airbus A320 | Airbus A320neo,1,AUH (550m),Found on 2026-05-17 (Round 2)
TAS,DEL,One way,Air Arabia | Etihad,14:40,03:10,12.0,1,1115,1115,,Airbus A320 | Boeing 787-10,1,AUH (275m),Found on 2026-05-17 (Round 2)
TAS,DPS,One way,Air Arabia | Etihad,14:40,11:25,17.75,1,1712,1712,,Airbus A320 | Boeing 777,1,AUH (265m),Found on 2026-05-17 (Round 2)
TAS,HKG,One way,Air Arabia | Etihad,14:40,09:00,15.33,1,1685,1685,,Airbus A320 | Boeing 787,1,AUH (225m),Found on 2026-05-21 (Round 2)
TAS,HKT,One way,Air Arabia | Etihad,14:40,07:35,14.92,1,1682,1682,,Airbus A320 | Boeing 787,1,AUH (265m),Found on 2026-05-17 (Round 2)
TAS,HYD,One way,Air Arabia | Etihad,14:40,02:45,11.58,1,1126,1126,,Airbus A320 | Boeing 787,1,AUH (240m),Found on 2026-05-17 (Round 2)
TAS,JAI,One way,Air Arabia | Etihad,14:40,02:10,11.0,1,1225,1225,,Airbus A320,1,AUH (220m),Found on 2026-05-17 (Round 2)
TAS,CGK,One way,Air Arabia | Etihad,14:40,09:00,16.33,1,1800,1800,,Airbus A320 | Boeing 777,1,AUH (240m),Found on 2026-05-17 (Round 2)
TAS,KUL,One way,Air Arabia | Etihad,14:40,08:25,14.75,1,2365,2365,,Airbus A320 | Boeing 787-10,1,AUH (215m),Found on 2026-05-17 (Round 2)
TAS,MAA,One way,Air Arabia | Etihad,14:40,02:50,11.67,1,1111,1111,,Airbus A320,1,AUH (215m),Found on 2026-05-17 (Round 2)
TAS,MEL,One way,Air Arabia | Etihad,14:40,15:50,20.17,1,2510,2510,,Airbus A320 | Boeing 787,1,AUH (195m),Found on 2026-05-17 (Round 2)
TAS,MLE,One way,Air Arabia | Etihad,14:40,05:15,14.58,1,1105,1105,,Airbus A320 | Boeing 787,1,AUH (390m),Found on 2026-05-17 (Round 2)
TAS,MNL,One way,Air Arabia | Etihad,14:40,11:05,17.42,1,2148,2148,,Airbus A320 | Airbus A330,1,AUH (260m),Found on 2026-05-17 (Round 2)
TAS,ICN,One way,Air Arabia | Etihad,14:40,10:50,16.17,1,1827,1827,,Airbus A320 | Boeing 787,1,AUH (225m),Found on 2026-05-17 (Round 2)
TAS,PVG,One way,China Southern,01:30,17:50,13.33,13,262,491.92,,Boeing 737MAX 8 Passenger | Boeing 737,2,URC (130m) | CGO (155m),Found on 2026-04-18 (Round 2)
TAS,SIN,One way,Air Arabia | Etihad,14:40,09:40,16.0,1,1794,1794,,Airbus A320 | Airbus A380,1,AUH (255m),Found on 2026-05-17 (Round 2)
TAS,SYD,One way,Air Arabia | Etihad,14:40,16:50,21.17,1,2349,2349,,Airbus A320 | Airbus A350,1,AUH (220m),Found on 2026-05-17 (Round 2)
TAS,TRV,One way,Air Arabia | Etihad,14:40,02:50,11.67,1,917,917,,Airbus A320 | Airbus A321,1,AUH (210m),Found on 2026-05-21 (Round 2)
TAS,KNO,One way,Air Arabia | Etihad | Batik Air,14:40,16:35,23.92,1,2135,2135,,Airbus A320 | Boeing 787-10 | Boeing 737,2,AUH (215m) | KUL (480m),Found on 2026-05-17 (Round 2)
TAS,MED,One way,Air Arabia | Etihad,14:40,10:20,21.67,1,1331,1331,,Airbus A320 | Airbus A321,1,AUH (920m),Found on 2026-05-17 (Round 2)
TAS,ADD,One way,Turkish Airlines,09:35,23:35,16.0,2,892,927,,Airbus A330 | Boeing 737MAX 9 Passenger,1,IST (320m),Found on 2026-04-18 (Round 2)
